idx	doy	ts	lyr	Temp_can
222010000	222	1	0	16.99
222020000	222	2	0	16.58
222030000	222	3	0	16.43
222040000	222	4	0	16.06
222050000	222	5	0	16.16
222060000	222	6	0	15.98
222070000	222	7	0	15.61
222080000	222	8	0	15.80
222090000	222	9	0	15.57
222100000	222	10	0	15.34
222110000	222	11	0	15.53
222120000	222	12	0	15.80
222130000	222	13	0	17.07
222140000	222	14	0	18.67
222150000	222	15	0	20.06
222160000	222	16	0	21.17
222170000	222	17	0	21.98
222180000	222	18	0	22.15
222190000	222	19	0	22.80
222200000	222	20	0	23.39
222210000	222	21	0	24.00
222220000	222	22	0	24.45
222230000	222	23	0	24.54
222240000	222	24	0	24.91
222250000	222	25	0	25.07
222260000	222	26	0	25.43
222270000	222	27	0	25.51
222280000	222	28	0	25.53
222290000	222	29	0	25.59
222300000	222	30	0	25.44
222310000	222	31	0	25.04
222320000	222	32	0	24.43
222330000	222	33	0	23.92
222340000	222	34	0	23.15
222350000	222	35	0	22.55
222360000	222	36	0	21.97
222370000	222	37	0	20.67
222380000	222	38	0	19.88
222390000	222	39	0	18.37
222400000	222	40	0	17.55
222410000	222	41	0	17.16
222420000	222	42	0	16.92
222430000	222	43	0	16.74
222440000	222	44	0	16.58
222450000	222	45	0	16.67
222460000	222	46	0	16.60
222470000	222	47	0	16.69
222480000	222	48	0	16.73
223010000	223	1	0	16.54
223020000	223	2	0	16.70
223030000	223	3	0	16.98
223040000	223	4	0	16.92
223050000	223	5	0	16.57
223060000	223	6	0	16.47
223070000	223	7	0	16.71
223080000	223	8	0	16.57
223090000	223	9	0	16.51
223100000	223	10	0	16.57
223110000	223	11	0	16.46
223120000	223	12	0	16.53
223130000	223	13	0	17.76
223140000	223	14	0	19.68
223150000	223	15	0	21.70
223160000	223	16	0	23.39
223170000	223	17	0	25.23
223180000	223	18	0	26.75
223190000	223	19	0	29.82
223200000	223	20	0	32.87
223210000	223	21	0	35.42
223220000	223	22	0	36.48
223230000	223	23	0	40.05
223240000	223	24	0	37.73
223250000	223	25	0	37.84
223260000	223	26	0	40.62
223270000	223	27	0	36.01
223280000	223	28	0	40.21
223290000	223	29	0	38.46
223300000	223	30	0	38.27
223310000	223	31	0	37.22
223320000	223	32	0	36.55
223330000	223	33	0	35.75
223340000	223	34	0	34.84
223350000	223	35	0	33.39
223360000	223	36	0	31.89
223370000	223	37	0	29.75
223380000	223	38	0	27.88
223390000	223	39	0	25.74
223400000	223	40	0	25.12
223410000	223	41	0	24.24
223420000	223	42	0	23.79
223430000	223	43	0	23.52
223440000	223	44	0	23.64
