idx	doy	ts	lyr	Temp_can
226360000	226	36	0	30.96
226370000	226	37	0	29.63
226380000	226	38	0	28.75
226390000	226	39	0	27.16
226400000	226	40	0	25.93
226410000	226	41	0	24.90
226420000	226	42	0	25.52
226430000	226	43	0	25.62
226440000	226	44	0	25.18
226450000	226	45	0	25.23
226460000	226	46	0	25.29
226470000	226	47	0	25.17
226480000	226	48	0	24.81
227010000	227	1	0	24.58
227020000	227	2	0	24.43
227030000	227	3	0	24.58
227040000	227	4	0	24.39
227050000	227	5	0	23.99
227060000	227	6	0	24.03
227070000	227	7	0	23.95
227080000	227	8	0	23.70
227090000	227	9	0	23.77
227100000	227	10	0	23.54
227110000	227	11	0	23.38
227120000	227	12	0	23.30
227130000	227	13	0	23.79
227140000	227	14	0	24.90
227150000	227	15	0	26.42
227160000	227	16	0	27.72
227170000	227	17	0	29.09
227180000	227	18	0	30.43
227190000	227	19	0	31.66
227200000	227	20	0	32.64
227210000	227	21	0	33.52
227220000	227	22	0	34.44
227230000	227	23	0	35.18
227240000	227	24	0	35.90
227250000	227	25	0	36.18
227260000	227	26	0	36.40
227270000	227	27	0	36.39
227280000	227	28	0	36.57
227290000	227	29	0	36.35
227300000	227	30	0	36.13
227310000	227	31	0	35.80
227320000	227	32	0	35.28
227330000	227	33	0	34.67
227340000	227	34	0	34.01
227350000	227	35	0	33.00
227360000	227	36	0	32.08
227370000	227	37	0	30.97
227380000	227	38	0	29.93
227390000	227	39	0	28.76
227400000	227	40	0	27.88
227410000	227	41	0	27.24
227420000	227	42	0	27.26
227430000	227	43	0	27.30
227440000	227	44	0	27.18
227450000	227	45	0	27.16
227460000	227	46	0	26.96
227470000	227	47	0	26.77
227480000	227	48	0	26.66
228010000	228	1	0	26.44
228020000	228	2	0	25.85
228030000	228	3	0	25.68
228040000	228	4	0	25.70
228050000	228	5	0	25.56
228060000	228	6	0	25.57
228070000	228	7	0	25.46
228080000	228	8	0	25.29
228090000	228	9	0	25.26
228100000	228	10	0	25.10
228110000	228	11	0	24.70
228120000	228	12	0	24.51
228130000	228	13	0	25.16
228140000	228	14	0	25.88
228150000	228	15	0	26.96
228160000	228	16	0	28.21
228170000	228	17	0	29.53
228180000	228	18	0	30.70
228190000	228	19	0	31.83
228200000	228	20	0	32.64
228210000	228	21	0	33.31
228220000	228	22	0	33.95
228230000	228	23	0	34.34
228240000	228	24	0	33.33
228250000	228	25	0	33.81
228260000	228	26	0	34.73
228270000	228	27	0	35.15
228280000	228	28	0	35.40
228290000	228	29	0	35.50
228300000	228	30	0	35.33
228310000	228	31	0	34.99
228320000	228	32	0	34.33
228330000	228	33	0	33.47
228340000	228	34	0	32.54
228350000	228	35	0	31.13
228360000	228	36	0	29.63
228370000	228	37	0	27.04
228380000	228	38	0	24.69
228390000	228	39	0	21.82
228400000	228	40	0	21.02
228410000	228	41	0	20.82
228420000	228	42	0	20.66
228430000	228	43	0	20.31
228440000	228	44	0	20.16
228450000	228	45	0	19.79
228460000	228	46	0	19.76
228470000	228	47	0	20.11
228480000	228	48	0	20.09
229010000	229	1	0	19.03
229020000	229	2	0	17.80
229030000	229	3	0	17.89
229040000	229	4	0	18.32
229050000	229	5	0	17.88
229060000	229	6	0	17.89
229070000	229	7	0	17.60
229080000	229	8	0	17.66
229090000	229	9	0	17.70
229100000	229	10	0	17.32
229110000	229	11	0	16.91
229120000	229	12	0	16.93
229130000	229	13	0	18.62
229140000	229	14	0	21.16
229150000	229	15	0	23.57
229160000	229	16	0	26.28
229170000	229	17	0	30.21
229180000	229	18	0	29.92
229190000	229	19	0	31.85
229200000	229	20	0	33.61
229210000	229	21	0	33.27
229220000	229	22	0	33.11
229230000	229	23	0	34.44
229240000	229	24	0	34.80
229250000	229	25	0	34.82
229260000	229	26	0	35.13
229270000	229	27	0	35.43
229280000	229	28	0	35.20
229290000	229	29	0	34.80
229300000	229	30	0	34.42
229310000	229	31	0	33.89
229320000	229	32	0	33.30
229330000	229	33	0	32.73
229340000	229	34	0	31.89
229350000	229	35	0	30.94
229360000	229	36	0	29.80
229370000	229	37	0	26.98
229380000	229	38	0	24.61
229390000	229	39	0	21.71
229400000	229	40	0	20.86
229410000	229	41	0	20.63
229420000	229	42	0	20.45
229430000	229	43	0	20.09
229440000	229	44	0	19.94
229450000	229	45	0	19.76
229460000	229	46	0	19.60
229470000	229	47	0	19.94
229480000	229	48	0	19.92
